Album_Name,Album_Image,Singer_Name,Album_Image_nl,Song_Desc
Ecossaise 1,images/Ecossaise1-eng.jpg,Mulder,images/Ecossaise1-nl.jpg,
Ecossaise 2,images/Ecossaise2-eng.jpg,Mulder,images/Ecossaise2-nl.jpg,
Grandezza,images/Grandezza-eng.jpg,Mulder,images/Grandezza-nl.jpg,
Ocean of Dreams,images/OceanOfDreams-eng.jpg,Mulder,images/OceanOfDreams-nl.jpg,
Coming to America,images/ComingToAmerica-eng.jpg,Mulder,images/ComingToAmerica-nl.jpg,
Ian Mulder in Concert,images/IanMulderInConcert-eng.jpg,Mulder,images/IanMulderInConcert-nl.jpg,
Sounds of Silence,images/SoundsOfSilence-eng.jpg,Mulder,images/SoundsOfSilence-nl.jpg,
Ian Mulder's Favourite Hymns,images/IanMuldersFavouriteHymns-eng.jpg,Mulder,images/IanMuldersFavouriteHymns-nl.jpg,
The Piano Dreamer,images/ThePianoDreamer-eng.jpg,Mulder,images/ThePianoDreamer-nl.jpg,
Love Divine 1,images/LoveDivine-eng.jpg,Mulder,images/LoveDivine-nl.jpg,
Love Divine 2,images/LoveDivine2-eng.jpg,Mulder,images/LoveDivine2-nl.jpg,
Love Divine 3,images/LoveDivine3-eng.jpg,Mulder,images/LoveDivine3-nl.jpg,
Love Divine 4,images/LoveDivine4-eng.jpg,Mulder,images/LoveDivine4-nl.jpg,
Ocean of Dreams 2,images/OceanOfDreams2-eng.jpg,Mulder,images/OceanOfDreams2-nl.jpg,
Love Divine 5,images/LoveDivine5-eng.jpg,Mulder,images/LoveDivine5-nl.jpg,
The Omnipotent,images/TheOmnipotent-eng.jpg,Mulder,images/TheOmnipotent-nl.jpg,
Love Divine 6,images/LoveDivine6-eng.jpg,Mulder,images/LoveDivine6-nl.jpg,
Love Divine 7,images/LoveDivine7-eng.jpg,Mulder,images/LoveDivine7-nl.jpg,
Ecossaise Christmas,images/EcossaiseChristmas-eng.jpg,Mulder,images/EcossaiseChristmas-nl.jpg,
Christmas,images/Christmas-eng.jpg,Mulder,images/Christmas-nl.jpg,
